Date,AQI,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Source,year,month,day,day_of_week,day_of_year,hour,is_weekend,season,zone,zone_lat,zone_lon,industrial_density,traffic_density,distance_from_center,temperature,humidity,wind_speed,pressure,precipitation,temp_humidity_index,wind_chill,pollution_accumulation,seasonal_pollution_factor,traffic_weather_interaction,industrial_weather_interaction,rain_effect
2015-01-27,318.0,154.2,217.2,14.41,30.39,34.63,40.96,10.36,6.42,17.11,Historical,2015,1,27,1,27,0,0,0,South,28.5355,77.391,0.2,0.5,21.99664905752723,16.1024374255014,60.108924110404075,2.2263341539027617,1011.2881599814563,1.0406686953973843,46.15689948070344,11.649769117695875,12.3642108928306,1.5,0.15497464805223937,0.061989859220895754,1
2015-01-28,295.0,134.6,156.9,18.96,28.6,35.57,49.71,10.21,5.21,15.23,Historical,2015,1,28,2,28,0,0,0,East,28.6692,77.4538,0.7,0.7,27.857490675399784,19.260542627759417,72.3355624964505,3.493462837528422,1009.470401915765,0.13281258158465867,55.428323875984674,12.273616952702573,6.156596483340675,1.5,0.15578186029575067,0.15578186029575067,0
2015-01-29,327.0,173.13,277.0,23.14,38.34,48.89,62.03,11.74,5.53,16.29,Historical,2015,1,29,3,29,0,0,0,West,28.6692,77.1025,0.6,0.6,13.320157249071446,14.368419014102392,72.9663466122248,3.924173886703488,1011.4374160546164,0.5636575281815187,50.85159232021479,6.520071240695415,5.489987561319247,1.5,0.12184784977235498,0.12184784977235498,0
2015-01-30,345.0,178.04,272.61,19.8,38.43,44.45,69.78,11.58,6.43,14.91,Historical,2015,1,30,4,30,0,0,0,Central,28.6139,77.209,0.3,0.8,0.0,21.883446164725456,62.283669802215925,3.6415774094916653,1010.3418883859488,0.02269205790981186,53.02528106583342,14.600291345742125,8.125757015418316,1.5,0.17235519941217875,0.06463319977956702,0
2015-01-31,334.0,158.59,207.06,30.67,41.36,57.77,67.66,8.7,5.03,17.51,Historical,2015,1,31,5,31,0,1,0,North,28.7041,77.1025,0.5,0.6,15.491675541722095,14.318779744372318,69.5803768343911,2.562103439472959,1011.6613437128041,0.2022728706047504,49.10896816156787,9.1945728654264,8.539792199327518,1.5,0.1684398025478942,0.14036650212324517,0
2015-02-01,358.0,211.59,371.05,57.56,58.17,93.17,96.69,13.08,9.9,23.28,Historical,2015,2,1,6,32,0,1,0,South,28.5355,77.391,0.2,0.5,21.99664905752723,14.373297934062457,56.42867201574038,3.9156038028757623,1007.1130644537435,0.49458322376639374,42.58763394193265,6.542090328310932,8.863881169342656,1.5,0.1017169039757611,0.04068676159030444,0
2015-02-02,349.0,163.64,219.84,13.7,37.25,39.34,84.49,10.59,5.31,28.38,Historical,2015,2,2,0,33,0,0,0,East,28.6692,77.4538,0.7,0.7,27.857490675399784,17.499633341453592,64.425574054796,4.546158443531953,1004.337946736242,0.35519656723396864,49.712420368851596,8.407316454389687,6.414246240420997,1.5,0.1262134876107542,0.1262134876107542,0
2015-02-03,334.0,157.71,194.09,12.28,31.05,34.1,66.38,8.21,5.64,28.56,Historical,2015,2,3,1,34,0,0,0,West,28.6692,77.1025,0.6,0.6,13.320157249071446,15.870615914691898,50.70344560378568,2.1389933904641922,1022.5232526309225,1.754476259080371,41.22233871658474,11.592629133763513,15.70457413066562,1.5,0.1911440788065095,0.1911440788065095,1
2015-02-04,313.0,137.26,147.08,15.21,29.69,36.06,53.28,9.11,5.06,15.07,Historical,2015,2,4,2,35,0,0,0,Central,28.6139,77.209,0.3,0.8,0.0,14.561794256323097,63.52363636075666,4.834071142139768,1020.3878795481805,1.309131196230757,46.323612436701424,4.8936519720435605,6.252300109227819,1.5,0.13712551330091996,0.051422067487844975,1
2015-02-05,262.0,131.76,127.42,23.15,36.51,47.4,51.24,8.18,4.85,21.7,Historical,2015,2,5,3,36,0,0,0,North,28.7041,77.1025,0.5,0.6,15.491675541722095,16.346512630898335,44.169037782003834,1.9092830728723986,1011.7290029157471,0.4905402045725734,38.43103152190025,12.527946485153539,19.19062560071648,1.5,0.20623637678804727,0.17186364732337273,0
2015-02-06,303.0,151.6,330.99,46.66,67.0,84.76,63.45,5.51,9.13,33.92,Historical,2015,2,6,4,37,0,0,0,South,28.5355,77.391,0.2,0.5,21.99664905752723,19.095418602044294,55.07432323402677,2.243732278454642,1005.6301075145235,0.1840869962503845,46.63258021905768,14.60795404513501,13.849995286101857,1.5,0.15414342401839856,0.06165736960735943,0
2015-02-07,329.0,160.75,210.52,37.54,57.69,71.68,58.15,10.28,6.91,43.44,Historical,2015,2,7,5,38,0,1,0,East,28.6692,77.4538,0.7,0.7,27.857490675399784,19.78415722071642,59.7741527634836,3.5097084163280305,1006.4411372250461,0.2457541461061345,49.671233602458216,12.764740388060359,8.919833284758077,1.5,0.15522067845130563,0.15522067845130563,0
2015-02-08,323.0,145.34,215.69,30.54,50.39,61.78,66.72,5.39,8.66,30.43,Historical,2015,2,8,6,39,0,1,0,West,28.6692,77.1025,0.6,0.6,13.320157249071446,16.10853166472604,57.512685368220495,2.71387620769368,1012.5057244084666,0.885589890488052,44.86487434883629,10.68077924933868,11.440153698112669,1.5,0.16155627340433096,0.16155627340433096,0
2015-02-09,266.0,134.67,109.86,19.95,39.18,44.48,74.29,5.11,9.7,20.62,Historical,2015,2,9,0,40,0,0,0,Central,28.6139,77.209,0.3,0.8,0.0,16.60679708592991,54.18071187009217,4.122107466350736,1015.4121880578158,0.008381797451475307,43.69715302097599,8.362582153228436,8.945397657295143,1.5,0.15618571169299633,0.05856964188487362,0
2015-02-10,319.0,153.07,218.23,23.41,42.2,48.01,79.54,10.88,5.81,19.02,Historical,2015,2,10,1,41,0,0,0,North,28.7041,77.1025,0.5,0.6,15.491675541722095,13.519540150313734,57.48230517280928,2.4285265484225147,1010.7876429785928,1.4287931302163768,42.260692736718376,8.662487053468706,12.401156656276545,1.5,0.1750022907875873,0.14583524232298944,1
2015-02-11,334.0,116.91,316.14,33.79,53.63,64.04,95.13,12.64,7.54,27.17,Historical,2015,2,11,2,42,0,0,0,South,28.5355,77.391,0.2,0.5,21.99664905752723,15.922369905740382,65.17373348573985,2.3993938630599523,1010.2316778989837,0.19706985256007264,48.509236648610305,11.123582179620477,10.24484596877851,1.5,0.1470850451997718,0.05883401807990873,0
2015-02-12,342.0,177.98,394.97,30.48,42.73,58.19,69.47,13.75,9.2,25.58,Historical,2015,2,12,3,43,0,0,0,East,28.6692,77.4538,0.7,0.7,27.857490675399784,20.49040782718491,53.63326145714655,3.3185858734224625,1011.5315593918889,0.580521436953425,47.30703855575818,13.853236080339986,10.736555877748007,1.5,0.1620900962761805,0.1620900962761805,0
2015-02-13,341.0,167.01,328.43,32.23,44.61,55.13,83.96,11.26,7.77,27.62,Historical,2015,2,13,4,44,0,0,0,West,28.6692,77.1025,0.6,0.6,13.320157249071446,20.438083025254564,51.50168814420028,1.9205871295832346,1017.4943073353128,0.237447332844518,46.18892709735471,16.596908766088095,16.60567197757952,1.5,0.20543814424246246,0.20543814424246246,0
2015-02-14,377.0,193.96,412.46,81.47,53.81,107.76,137.27,11.73,9.36,34.22,Historical,2015,2,14,5,45,0,1,0,Central,28.6139,77.209,0.3,0.8,0.0,19.765540430886073,67.68365718615169,2.3229896240479135,1005.3345149970337,0.4583282521977238,53.60736902396192,15.119561182790246,9.725080866933922,1.5,0.24074706529642326,0.09028014948615871,0
2015-02-15,391.0,184.06,497.37,44.16,58.15,75.98,61.89,13.78,9.13,40.91,Historical,2015,2,15,6,46,0,1,0,North,28.7041,77.1025,0.5,0.6,15.491675541722095,17.99369724460268,59.36678084608438,2.272402865234227,1011.271130473795,0.09142499719910115,47.67708766764487,13.448891514134225,12.416936675370879,1.5,0.18335150796204125,0.15279292330170105,0
2015-02-16,358.0,152.62,310.74,24.32,44.22,49.67,74.74,11.55,6.79,34.36,Historical,2015,2,16,0,47,0,0,0,South,28.5355,77.391,0.2,0.5,21.99664905752723,16.868875683080013,42.44583666401661,2.16358253619268,1015.3028577444421,0.3132484248604397,38.09179401508832,12.541710610694654,18.19271748959927,1.5,0.15804866611817306,0.06321946644726922,0
2015-02-17,327.0,161.27,195.78,23.71,25.4,42.76,75.66,10.3,5.6,41.62,Historical,2015,2,17,1,48,0,0,0,East,28.6692,77.4538,0.7,0.7,27.857490675399784,18.268701874159657,52.67044821290624,2.2138470541875175,1019.378788655296,0.27571723838897383,44.60392598061277,13.84100776578462,14.726759235609922,1.5,0.21780750240990068,0.21780750240990068,0
2015-02-18,365.0,188.2,253.53,69.2,60.29,104.31,79.83,16.23,8.65,36.54,Historical,2015,2,18,2,49,0,0,0,West,28.6692,77.1025,0.6,0.6,13.320157249071446,19.866665501296666,57.80299181056912,2.827404577937405,1014.6329681442894,0.27948774841681967,48.76816140658123,14.211856345421856,11.024966744480126,1.5,0.15676419562714244,0.15676419562714244,0
2015-02-19,352.0,159.97,193.78,24.53,40.51,47.8,81.44,13.11,5.08,31.88,Historical,2015,2,19,3,50,0,0,0,Central,28.6139,77.209,0.3,0.8,0.0,12.463125743914947,60.16594085455057,0.48542179416314424,1015.9746570788149,0.3949374880106072,42.54609617119023,11.492282155588658,26.816665341773252,1.5,0.5385675658883835,0.20196283720814381,0
2015-02-20,317.0,144.12,162.2,18.1,34.71,40.32,81.04,11.45,5.93,31.61,Historical,2015,2,20,4,51,0,0,0,North,28.7041,77.1025,0.5,0.6,15.491675541722095,15.032138410899401,60.32848202189945,2.9363502283379823,1016.96851164964,0.07482906741312981,45.19637942184912,9.159437954223437,10.07824905733827,1.5,0.15242546145426034,0.12702121787855028,0
2015-02-21,320.0,155.38,191.03,35.51,45.11,57.91,69.59,14.21,12.24,30.11,Historical,2015,2,21,5,52,0,1,0,South,28.5355,77.391,0.2,0.5,21.99664905752723,17.513715884392226,59.66623078000036,1.3097040259431476,1006.5003033989132,0.6298700979548811,47.34683127439241,14.89430783250593,17.462743609986866,1.5,0.2164779531852915,0.08659118127411661,0
2015-02-22,279.0,124.1,107.61,15.38,31.83,32.15,70.25,9.73,5.68,27.19,Historical,2015,2,22,6,53,0,1,0,East,28.6692,77.4538,0.7,0.7,27.857490675399784,13.666707393455146,50.96415581960332,2.638630317721365,1019.7943816239422,2.3687412557770084,39.14878530325681,8.389446758012417,13.476456770443393,1.5,0.19238008230480638,0.19238008230480638,1
2015-02-23,281.0,141.39,157.01,21.95,38.23,42.71,36.38,9.29,9.43,36.86,Historical,2015,2,23,0,54,0,0,0,West,28.6692,77.1025,0.6,0.6,13.320157249071446,15.0914910552346,75.6767010675215,2.1893850817226577,1015.5734357387587,0.34890130079065623,52.92984158899535,10.712720891789285,7.626328683816675,1.5,0.18812403790260618,0.18812403790260618,0
2015-02-24,354.0,170.16,238.33,36.04,48.4,60.78,34.14,14.17,9.28,37.39,Historical,2015,2,24,1,55,0,0,0,Central,28.6139,77.209,0.3,0.8,0.0,19.045012724506673,68.63496078555906,4.521292512935287,1011.1479606429048,0.1276138466861508,53.362493117286206,10.0024276986361,5.680742170598444,1.5,0.1448936092637294,0.05433510347389852,0
2015-02-25,340.0,148.19,169.57,14.79,29.28,34.14,34.91,14.13,5.94,31.57,Historical,2015,2,25,2,56,0,0,0,North,28.7041,77.1025,0.5,0.6,15.491675541722095,16.87366823899635,54.37245928840445,2.9474499056221326,1008.1774577537996,0.5700308355344539,44.05989788319857,10.978768427752083,11.558738376036334,1.5,0.15199686236561316,0.1266640519713443,0
2015-02-26,323.0,140.78,171.64,11.34,20.95,26.65,23.22,13.61,6.98,28.72,Historical,2015,2,26,3,57,0,0,0,South,28.5355,77.391,0.2,0.5,21.99664905752723,17.922654705867156,71.3094470265653,3.453808274902779,1019.7449124421227,0.36374054871791306,53.57737821914981,11.015038156061598,6.441802431215112,1.5,0.11226347636414914,0.04490539054565966,0
2015-02-27,315.0,130.42,163.67,13.85,24.75,31.46,22.36,12.78,12.12,34.08,Historical,2015,2,27,4,58,0,0,0,East,28.6692,77.4538,0.7,0.7,27.857490675399784,15.901920346717656,75.95336640398315,1.5332989266099322,1017.5893438107938,0.12920535435752767,53.878603548709236,12.835322493497792,9.492221128517242,1.5,0.27631954233555134,0.27631954233555134,0
2015-02-28,310.0,105.86,169.28,9.21,20.65,25.3,16.49,11.8,12.48,41.38,Historical,2015,2,28,5,59,0,1,0,West,28.6692,77.1025,0.6,0.6,13.320157249071446,20.613380073212525,54.45342937697033,2.5110006196866923,1013.5391844019779,0.23972787350137204,47.840094761697685,15.59137883383914,12.972532778161135,1.5,0.17089145374561102,0.17089145374561102,0
2015-03-01,324.0,71.83,98.89,8.49,21.42,19.55,12.44,11.62,10.99,22.51,Historical,2015,3,1,6,60,0,1,1,Central,28.6139,77.209,0.3,0.8,0.0,22.087513338968584,52.38880635803475,1.3384707758138628,1024.5484596896697,0.7704477570320225,48.28191651798596,19.41057178734086,20.35996948706576,1.0,0.34210391178464666,0.1282889669192425,0
2015-03-02,226.0,53.71,60.15,11.02,13.43,20.48,19.11,10.19,3.21,22.08,Historical,2015,3,2,0,61,0,0,1,North,28.7041,77.1025,0.5,0.6,15.491675541722095,20.274895594884267,28.11539223252812,3.9333188019042122,1016.8652219626264,0.06467775631031353,34.332591711148325,12.408257991075843,14.571247197672514,1.0,0.1216219798664554,0.10135164988871284,0
2015-03-03,266.0,83.49,112.1,16.23,23.75,30.88,16.04,11.72,5.07,20.83,Historical,2015,3,3,1,62,0,0,1,South,28.5355,77.391,0.2,0.5,21.99664905752723,21.856372326386282,54.64062637825764,0.44913142490778446,1006.843487748248,0.49419677439171994,49.1766855155151,20.958109476570712,31.301076522185557,1.0,0.3450342677040611,0.13801370708162444,0
2015-03-04,200.0,91.07,139.15,13.71,24.28,28.73,17.44,10.64,4.68,25.83,Historical,2015,3,4,2,63,0,0,1,East,28.6692,77.4538,0.7,0.7,27.857490675399784,20.48434698057915,37.845949828922784,2.126518143188435,1009.1702445670235,0.6730564994093415,39.40732189504054,16.231310694202282,19.87963841069935,1.0,0.2238912323362171,0.2238912323362171,0
2015-03-05,275.0,106.57,196.19,25.97,31.12,45.48,28.86,9.36,5.97,32.88,Historical,2015,3,5,3,64,0,0,1,West,28.6692,77.1025,0.6,0.6,13.320157249071446,23.265473929577226,36.81703791291327,1.119162580724899,1015.6811817219044,0.054627353372358495,41.67399288603386,21.02714876812743,29.815061223605515,1.0,0.2831307071280764,0.2831307071280764,0
2015-03-06,322.0,101.75,163.14,20.56,26.59,34.17,32.04,10.55,5.96,33.67,Historical,2015,3,6,4,65,0,0,1,Central,28.6139,77.209,0.3,0.8,0.0,23.054231877993335,50.591998781543246,2.9974568359998464,1017.0173860656589,0.5609504226263687,48.35023126876496,17.05931820599364,12.359858591468392,1.0,0.20012723909748073,0.07504771466155527,0
2015-03-07,216.0,77.57,90.54,12.07,19.15,24.66,16.83,9.48,5.18,23.09,Historical,2015,3,7,5,66,0,1,1,North,28.7041,77.1025,0.5,0.6,15.491675541722095,23.341237011699377,42.99217188396182,2.111965132263661,1018.0521583915706,0.01765797845228344,44.837322953680285,19.117306747172055,18.318916084567558,1.0,0.19280421678875193,0.16067018065729327,0
2015-03-08,108.0,63.24,80.2,13.52,20.35,27.44,16.12,8.19,3.98,20.71,Historical,2015,3,8,6,67,0,1,1,South,28.5355,77.391,0.2,0.5,21.99664905752723,22.543650914298794,28.487366571653997,0.40113031612005345,1022.974166156902,0.3405372316567049,36.78733420012579,21.74139028205869,51.03924496214995,1.0,0.35685474380754056,0.14274189752301625,0
2015-03-09,197.0,76.62,117.38,10.49,18.21,22.84,15.2,9.02,4.2,22.85,Historical,2015,3,9,0,68,0,0,1,East,28.6692,77.4538,0.7,0.7,27.857490675399784,24.191256927970972,49.28764122556953,3.097841482306637,1017.1070437235671,0.4530308164328193,48.835077540755734,17.9955739633577,12.375383233683541,1.0,0.17082163939781692,0.17082163939781692,0
2015-03-10,238.0,86.7,150.92,11.44,18.82,25.78,18.88,7.98,3.84,25.87,Historical,2015,3,10,1,69,0,0,1,West,28.6692,77.1025,0.6,0.6,13.320157249071446,19.767798513415745,37.6003670378721,2.6087519874921816,1009.9826009012774,1.3932290662097857,38.56798203235179,14.55029453843138,17.291194623072748,1.0,0.16626246471898892,0.16626246471898892,1
2015-03-11,274.0,104.29,176.2,14.94,25.63,32.66,29.48,10.76,6.3,29.62,Historical,2015,3,11,2,70,0,0,1,Central,28.6139,77.209,0.3,0.8,0.0,17.080215865243108,38.44772007034556,2.4720266910839896,1016.9834329855182,0.32177535341473207,36.30407590041589,12.136162483075129,17.728054939127617,1.0,0.23041297523845786,0.08640486571442169,0
2015-03-12,315.0,115.93,203.75,18.48,32.29,37.84,30.72,11.3,7.03,35.05,Historical,2015,3,12,3,71,0,0,1,North,28.7041,77.1025,0.5,0.6,15.491675541722095,17.547603474555828,57.195653992104155,2.4480072900962497,1023.396708249004,1.3845615578950403,46.145430470607906,12.651588894363329,12.414227235204303,1.0,0.17401355319734582,0.14501129433112153,1
2015-03-13,307.0,108.66,173.89,15.61,30.75,37.02,23.31,10.23,10.65,34.05,Historical,2015,3,13,4,72,0,0,1,South,28.5355,77.391,0.2,0.5,21.99664905752723,20.81862971950227,37.650556885298926,0.48504377919486297,1025.7566631144516,0.07064502323070758,39.64390816215173,19.848542161112544,41.98491922474143,1.0,0.3366904107507739,0.13467616430030957,0
2015-03-14,208.0,67.94,105.29,14.3,29.78,32.1,29.21,9.18,10.14,23.39,Historical,2015,3,14,5,73,0,1,1,East,28.6692,77.4538,0.7,0.7,27.857490675399784,22.851034840263168,71.56871385236548,2.16256031712701,1015.4641483173257,0.19653535769550698,58.635391766445906,18.525914206009148,8.989958545189925,1.0,0.22133965199307457,0.22133965199307457,0
