Date,AQI,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Source,year,month,day,day_of_week,day_of_year,hour,is_weekend,season
2015-01-28 00:00:00,295.0,134.6,156.9,18.96,28.6,35.57,49.71,10.21,5.21,15.23,Historical,2015,1,28,2,28,0,0,0
2015-01-29 00:00:00,327.0,173.13,277.0,23.14,38.34,48.89,62.03,11.74,5.53,16.29,Historical,2015,1,29,3,29,0,0,0
2015-01-30 00:00:00,345.0,178.04,272.61,19.8,38.43,44.45,69.78,11.58,6.43,14.91,Historical,2015,1,30,4,30,0,0,0
2015-01-31 00:00:00,334.0,158.59,207.06,30.67,41.36,57.77,67.66,8.7,5.03,17.51,Historical,2015,1,31,5,31,0,1,0
2015-02-01 00:00:00,358.0,211.59,371.05,57.56,58.17,93.17,96.69,13.08,9.9,23.28,Historical,2015,2,1,6,32,0,1,0
2015-02-02 00:00:00,349.0,163.64,219.84,13.7,37.25,39.34,84.49,10.59,5.31,28.38,Historical,2015,2,2,0,33,0,0,0
2015-02-03 00:00:00,334.0,157.71,194.09,12.28,31.05,34.1,66.38,8.21,5.64,28.56,Historical,2015,2,3,1,34,0,0,0
2015-02-04 00:00:00,313.0,137.26,147.08,15.21,29.69,36.06,53.28,9.11,5.06,15.07,Historical,2015,2,4,2,35,0,0,0
2015-02-05 00:00:00,262.0,131.76,127.42,23.15,36.51,47.4,51.24,8.18,4.85,21.7,Historical,2015,2,5,3,36,0,0,0
2015-02-06 00:00:00,303.0,151.6,330.99,46.66,67.0,84.76,63.45,5.51,9.13,33.92,Historical,2015,2,6,4,37,0,0,0
2015-02-07 00:00:00,329.0,160.75,210.52,37.54,57.69,71.68,58.15,10.28,6.91,43.44,Historical,2015,2,7,5,38,0,1,0
2015-02-08 00:00:00,323.0,145.34,215.69,30.54,50.39,61.78,66.72,5.39,8.66,30.43,Historical,2015,2,8,6,39,0,1,0
2015-02-09 00:00:00,266.0,134.67,109.86,19.95,39.18,44.48,74.29,5.11,9.7,20.62,Historical,2015,2,9,0,40,0,0,0
2015-02-10 00:00:00,319.0,153.07,218.23,23.41,42.2,48.01,79.54,10.88,5.81,19.02,Historical,2015,2,10,1,41,0,0,0
2015-02-11 00:00:00,334.0,116.91,316.14,33.79,53.63,64.04,95.13,12.64,7.54,27.17,Historical,2015,2,11,2,42,0,0,0
2015-02-12 00:00:00,342.0,177.98,394.97,30.48,42.73,58.19,69.47,13.75,9.2,25.58,Historical,2015,2,12,3,43,0,0,0
2015-02-13 00:00:00,341.0,167.01,328.43,32.23,44.61,55.13,83.96,11.26,7.77,27.62,Historical,2015,2,13,4,44,0,0,0
2015-02-14 00:00:00,377.0,193.96,412.46,81.47,53.81,107.76,137.27,11.73,9.36,34.22,Historical,2015,2,14,5,45,0,1,0
2015-02-15 00:00:00,391.0,184.06,497.37,44.16,58.15,75.98,61.89,13.78,9.13,40.91,Historical,2015,2,15,6,46,0,1,0
2015-02-16 00:00:00,358.0,152.62,310.74,24.32,44.22,49.67,74.74,11.55,6.79,34.36,Historical,2015,2,16,0,47,0,0,0
2015-02-17 00:00:00,327.0,161.27,195.78,23.71,25.4,42.76,75.66,10.3,5.6,41.62,Historical,2015,2,17,1,48,0,0,0
2015-02-18 00:00:00,365.0,188.2,253.53,69.2,60.29,104.31,79.83,16.23,8.65,36.54,Historical,2015,2,18,2,49,0,0,0
2015-02-19 00:00:00,352.0,159.97,193.78,24.53,40.51,47.8,81.44,13.11,5.08,31.88,Historical,2015,2,19,3,50,0,0,0
2015-02-20 00:00:00,317.0,144.12,162.2,18.1,34.71,40.32,81.04,11.45,5.93,31.61,Historical,2015,2,20,4,51,0,0,0
2015-02-21 00:00:00,320.0,155.38,191.03,35.51,45.11,57.91,69.59,14.21,12.24,30.11,Historical,2015,2,21,5,52,0,1,0
2015-02-22 00:00:00,279.0,124.1,107.61,15.38,31.83,32.15,70.25,9.73,5.68,27.19,Historical,2015,2,22,6,53,0,1,0
2015-02-23 00:00:00,281.0,141.39,157.01,21.95,38.23,42.71,36.38,9.29,9.43,36.86,Historical,2015,2,23,0,54,0,0,0
2015-02-24 00:00:00,354.0,170.16,238.33,36.04,48.4,60.78,34.14,14.17,9.28,37.39,Historical,2015,2,24,1,55,0,0,0
2015-02-25 00:00:00,340.0,148.19,169.57,14.79,29.28,34.14,34.91,14.13,5.94,31.57,Historical,2015,2,25,2,56,0,0,0
2015-02-26 00:00:00,323.0,140.78,171.64,11.34,20.95,26.65,23.22,13.61,6.98,28.72,Historical,2015,2,26,3,57,0,0,0
2015-02-27 00:00:00,315.0,130.42,163.67,13.85,24.75,31.46,22.36,12.78,12.12,34.08,Historical,2015,2,27,4,58,0,0,0
2015-02-28 00:00:00,310.0,105.86,169.28,9.21,20.65,25.3,16.49,11.8,12.48,41.38,Historical,2015,2,28,5,59,0,1,0
2015-03-01 00:00:00,324.0,71.83,98.89,8.49,21.42,19.55,12.44,11.62,10.99,22.51,Historical,2015,3,1,6,60,0,1,1
2015-03-02 00:00:00,226.0,53.71,60.15,11.02,13.43,20.48,19.11,10.19,3.21,22.08,Historical,2015,3,2,0,61,0,0,1
2015-03-03 00:00:00,266.0,83.49,112.1,16.23,23.75,30.88,16.04,11.72,5.07,20.83,Historical,2015,3,3,1,62,0,0,1
2015-03-04 00:00:00,200.0,91.07,139.15,13.71,24.28,28.73,17.44,10.64,4.68,25.83,Historical,2015,3,4,2,63,0,0,1
2015-03-05 00:00:00,275.0,106.57,196.19,25.97,31.12,45.48,28.86,9.36,5.97,32.88,Historical,2015,3,5,3,64,0,0,1
2015-03-06 00:00:00,322.0,101.75,163.14,20.56,26.59,34.17,32.04,10.55,5.96,33.67,Historical,2015,3,6,4,65,0,0,1
2015-03-07 00:00:00,216.0,77.57,90.54,12.07,19.15,24.66,16.83,9.48,5.18,23.09,Historical,2015,3,7,5,66,0,1,1
2015-03-08 00:00:00,108.0,63.24,80.2,13.52,20.35,27.44,16.12,8.19,3.98,20.71,Historical,2015,3,8,6,67,0,1,1
2015-03-09 00:00:00,197.0,76.62,117.38,10.49,18.21,22.84,15.2,9.02,4.2,22.85,Historical,2015,3,9,0,68,0,0,1
2015-03-10 00:00:00,238.0,86.7,150.92,11.44,18.82,25.78,18.88,7.98,3.84,25.87,Historical,2015,3,10,1,69,0,0,1
2015-03-11 00:00:00,274.0,104.29,176.2,14.94,25.63,32.66,29.48,10.76,6.3,29.62,Historical,2015,3,11,2,70,0,0,1
2015-03-12 00:00:00,315.0,115.93,203.75,18.48,32.29,37.84,30.72,11.3,7.03,35.05,Historical,2015,3,12,3,71,0,0,1
2015-03-13 00:00:00,307.0,108.66,173.89,15.61,30.75,37.02,23.31,10.23,10.65,34.05,Historical,2015,3,13,4,72,0,0,1
2015-03-14 00:00:00,208.0,67.94,105.29,14.3,29.78,32.1,29.21,9.18,10.14,23.39,Historical,2015,3,14,5,73,0,1,1
2015-03-15 00:00:00,165.0,38.89,46.68,9.49,17.76,21.45,30.59,8.23,4.25,22.0,Historical,2015,3,15,6,74,0,1,1
2015-03-16 00:00:00,188.0,45.39,74.14,10.2,17.14,22.27,33.16,7.87,8.8,25.55,Historical,2015,3,16,0,75,0,0,1
2015-03-17 00:00:00,217.0,55.55,104.33,12.18,20.96,25.28,39.8,10.45,7.19,23.11,Historical,2015,3,17,1,76,0,0,1
2015-03-18 00:00:00,191.0,50.59,95.56,9.32,16.6,21.74,39.16,7.83,3.6,27.5,Historical,2015,3,18,2,77,0,0,1
2015-03-19 00:00:00,240.0,69.51,136.67,14.05,23.77,30.29,36.77,7.89,4.97,27.07,Historical,2015,3,19,3,78,0,0,1
2015-03-20 00:00:00,229.0,96.62,168.0,19.15,29.04,37.12,35.07,9.59,6.66,29.01,Historical,2015,3,20,4,79,0,0,1
2015-03-21 00:00:00,248.0,96.28,172.91,20.18,29.21,37.78,32.01,8.82,7.31,25.97,Historical,2015,3,21,5,80,0,1,1
2015-03-22 00:00:00,204.0,72.2,122.12,9.39,20.27,23.15,32.52,8.5,4.4,25.48,Historical,2015,3,22,6,81,0,1,1
2015-03-23 00:00:00,271.0,78.47,131.42,12.57,23.04,28.5,32.13,8.6,4.07,27.1,Historical,2015,3,23,0,82,0,0,1
2015-03-24 00:00:00,290.0,91.87,179.36,21.3,30.01,40.31,31.79,10.1,7.35,34.78,Historical,2015,3,24,1,83,0,0,1
2015-03-25 00:00:00,340.0,107.26,201.08,21.52,33.82,42.98,27.92,11.69,11.82,45.78,Historical,2015,3,25,2,84,0,0,1
2015-03-26 00:00:00,358.0,109.78,217.9,24.1,33.02,44.26,28.0,12.67,9.3,40.0,Historical,2015,3,26,3,85,0,0,1
2015-03-27 00:00:00,287.0,62.27,117.81,12.01,24.76,27.71,27.34,9.29,10.91,31.08,Historical,2015,3,27,4,86,0,0,1
2015-03-28 00:00:00,323.0,102.22,212.96,22.14,29.41,40.44,32.82,10.47,17.16,40.23,Historical,2015,3,28,5,87,0,1,1
2015-03-29 00:00:00,360.0,104.36,202.01,23.55,33.86,43.2,37.35,14.42,16.92,32.84,Historical,2015,3,29,6,88,0,1,1
2015-03-30 00:00:00,268.0,44.19,57.0,7.11,17.6,19.91,28.77,9.58,7.75,26.81,Historical,2015,3,30,0,89,0,0,1
2015-03-31 00:00:00,283.0,55.66,78.64,10.22,20.13,26.74,30.62,9.56,9.34,34.15,Historical,2015,3,31,1,90,0,0,1
2015-04-01 00:00:00,309.0,112.86,167.6,24.6,32.71,45.12,36.05,10.15,19.48,38.45,Historical,2015,4,1,2,91,0,0,1
2015-04-02 00:00:00,249.0,78.51,112.78,9.82,20.54,27.51,31.04,6.72,14.37,35.54,Historical,2015,4,2,3,92,0,0,1
2015-04-03 00:00:00,245.0,66.52,76.05,11.21,18.47,27.79,35.48,8.24,10.62,24.85,Historical,2015,4,3,4,93,0,0,1
2015-04-04 00:00:00,229.0,62.56,86.11,10.66,24.96,30.36,28.46,5.52,12.94,27.98,Historical,2015,4,4,5,94,0,1,1
2015-04-05 00:00:00,234.0,78.61,145.1,13.0,27.75,39.45,32.3,7.97,16.72,40.79,Historical,2015,4,5,6,95,0,1,1
2015-04-06 00:00:00,343.0,119.7,195.47,34.3,32.83,59.96,44.66,11.01,16.63,30.32,Historical,2015,4,6,0,96,0,0,1
2015-04-07 00:00:00,262.0,66.09,95.81,7.57,24.47,30.04,29.78,7.29,8.34,43.23,Historical,2015,4,7,1,97,0,0,1
2015-04-08 00:00:00,308.0,95.34,120.2,11.64,34.72,37.7,24.84,9.28,17.99,61.68,Historical,2015,4,8,2,98,0,0,1
2015-04-09 00:00:00,293.0,63.57,148.17,11.33,35.15,41.13,30.04,6.57,10.48,35.18,Historical,2015,4,9,3,99,0,0,1
2015-04-10 00:00:00,290.0,96.56,203.67,17.46,52.77,62.06,30.32,4.63,15.8,59.88,Historical,2015,4,10,4,100,0,0,1
2015-04-11 00:00:00,375.0,131.39,234.65,22.86,59.52,72.68,34.01,5.84,21.5,73.72,Historical,2015,4,11,5,101,0,1,1
2015-04-12 00:00:00,293.0,75.35,91.73,9.63,45.3,40.75,28.79,7.73,13.08,49.21,Historical,2015,4,12,6,102,0,1,1
2015-04-13 00:00:00,247.0,86.49,116.62,14.18,50.3,56.07,38.86,3.67,14.99,62.52,Historical,2015,4,13,0,103,0,0,1
2015-04-14 00:00:00,232.0,77.07,132.68,13.41,42.65,50.06,36.68,6.85,14.04,55.44,Historical,2015,4,14,1,104,0,0,1
2015-04-15 00:00:00,316.0,98.79,161.43,18.39,47.41,45.1,34.8,11.65,13.75,31.14,Historical,2015,4,15,2,105,0,0,1
2015-04-16 00:00:00,295.0,81.81,164.56,18.2,44.06,58.92,37.84,5.94,21.44,59.29,Historical,2015,4,16,3,106,0,0,1
2015-04-17 00:00:00,246.0,65.78,180.67,18.75,40.09,55.98,30.04,7.38,14.34,54.47,Historical,2015,4,17,4,107,0,0,1
2015-04-18 00:00:00,378.0,119.82,268.65,26.27,51.11,66.92,28.99,8.21,17.21,65.72,Historical,2015,4,18,5,108,0,1,1
2015-04-19 00:00:00,406.0,125.53,308.82,32.69,64.73,87.58,34.39,8.84,18.02,65.08,Historical,2015,4,19,6,109,0,1,1
2015-04-20 00:00:00,392.0,121.51,336.63,18.14,60.41,68.41,33.63,6.75,20.98,87.04,Historical,2015,4,20,0,110,0,0,1
2015-04-21 00:00:00,391.0,114.5,327.81,23.52,50.7,63.45,30.3,6.84,19.38,74.49,Historical,2015,4,21,1,111,0,0,1
2015-04-22 00:00:00,368.0,101.83,279.41,26.26,55.27,72.67,24.36,7.36,19.29,69.41,Historical,2015,4,22,2,112,0,0,1
2015-04-23 00:00:00,365.0,118.57,273.68,33.93,76.46,96.19,29.32,6.58,21.81,76.14,Historical,2015,4,23,3,113,0,0,1
2015-04-24 00:00:00,383.0,143.22,313.53,42.58,88.61,108.55,36.5,6.42,26.89,89.42,Historical,2015,4,24,4,114,0,0,1
2015-04-25 00:00:00,367.0,106.76,318.88,22.5,58.87,71.34,37.0,6.75,17.56,93.54,Historical,2015,4,25,5,115,0,1,1
2015-04-26 00:00:00,334.0,65.36,160.3,13.17,31.23,38.68,32.83,8.44,12.67,77.43,Historical,2015,4,26,6,116,0,1,1
2015-04-27 00:00:00,258.0,67.08,174.5,13.18,35.54,44.09,32.27,4.76,11.92,70.74,Historical,2015,4,27,0,117,0,0,1
2015-04-28 00:00:00,234.0,81.37,141.25,11.98,34.88,43.91,29.46,4.67,13.97,70.42,Historical,2015,4,28,1,118,0,0,1
2015-04-29 00:00:00,257.0,63.76,131.56,12.09,42.98,51.34,29.93,7.16,13.98,61.86,Historical,2015,4,29,2,119,0,0,1
2015-04-30 00:00:00,259.0,60.56,171.42,12.0,43.9,48.72,29.08,7.33,12.85,60.18,Historical,2015,4,30,3,120,0,0,1
2015-05-01 00:00:00,279.0,76.1,192.81,13.14,42.99,52.01,26.55,7.63,13.1,53.16,Historical,2015,5,1,4,121,0,0,1
2015-05-02 00:00:00,312.0,72.66,206.1,25.56,62.09,76.22,26.99,9.46,16.16,43.06,Historical,2015,5,2,5,122,0,1,1
2015-05-03 00:00:00,372.0,121.94,334.02,52.12,83.3,100.84,35.46,11.95,19.43,41.71,Historical,2015,5,3,6,123,0,1,1
2015-05-04 00:00:00,387.0,108.98,326.71,52.0,85.5,112.64,31.33,8.08,17.53,37.7,Historical,2015,5,4,0,124,0,0,1
2015-05-05 00:00:00,408.0,145.99,366.85,75.13,107.85,150.76,35.82,6.65,26.0,50.27,Historical,2015,5,5,1,125,0,0,1
2015-05-06 00:00:00,398.0,171.33,346.98,53.42,87.88,122.67,39.27,7.1,25.26,92.66,Historical,2015,5,6,2,126,0,0,1
2015-05-07 00:00:00,403.0,117.76,343.12,19.74,63.18,73.07,35.52,9.64,24.63,75.6,Historical,2015,5,7,3,127,0,0,1
2015-05-08 00:00:00,361.0,90.66,305.38,25.55,56.54,73.9,30.52,6.65,20.79,74.84,Historical,2015,5,8,4,128,0,0,1
2015-05-09 00:00:00,378.0,106.4,285.38,43.33,63.57,96.25,34.25,9.35,18.15,76.38,Historical,2015,5,9,5,129,0,1,1
2015-05-10 00:00:00,381.0,101.21,283.47,20.83,57.51,65.08,31.32,10.6,16.92,67.97,Historical,2015,5,10,6,130,0,1,1
2015-05-11 00:00:00,388.0,97.57,336.82,11.91,42.7,48.43,36.11,8.79,15.11,87.93,Historical,2015,5,11,0,131,0,0,1
2015-05-12 00:00:00,346.0,96.34,293.26,11.54,43.04,48.09,52.21,6.27,10.84,83.43,Historical,2015,5,12,1,132,0,0,1
2015-05-13 00:00:00,328.0,83.42,174.52,10.5,48.61,45.79,56.95,8.14,9.08,55.62,Historical,2015,5,13,2,133,0,0,1
2015-05-14 00:00:00,291.0,78.06,196.08,16.38,42.22,53.26,47.74,7.24,10.42,57.1,Historical,2015,5,14,3,134,0,0,1
2015-05-15 00:00:00,396.0,97.87,240.34,27.46,63.55,81.14,44.08,10.81,15.02,77.87,Historical,2015,5,15,4,135,0,0,1
2015-05-16 00:00:00,297.0,77.52,186.28,24.05,75.5,91.36,41.94,6.17,15.03,73.24,Historical,2015,5,16,5,136,0,1,1
2015-05-17 00:00:00,345.0,97.16,188.39,15.83,57.63,65.15,43.23,8.4,20.15,70.29,Historical,2015,5,17,6,137,0,1,1
2015-05-18 00:00:00,296.0,66.85,172.35,9.2,47.64,55.88,40.95,7.46,15.04,79.02,Historical,2015,5,18,0,138,0,0,1
2015-05-19 00:00:00,319.0,89.85,240.31,16.42,75.47,70.51,40.32,8.04,14.58,79.55,Historical,2015,5,19,1,139,0,0,1
2015-05-20 00:00:00,282.0,67.41,176.25,21.7,52.69,60.6,42.24,6.11,20.3,57.17,Historical,2015,5,20,2,140,0,0,1
2015-05-21 00:00:00,352.0,75.54,335.13,27.16,53.03,63.55,56.95,8.25,14.85,42.61,Historical,2015,5,21,3,141,0,0,1
2015-05-22 00:00:00,338.0,67.91,235.99,34.97,56.84,77.1,45.91,8.32,14.77,64.34,Historical,2015,5,22,4,142,0,0,1
2015-05-23 00:00:00,321.0,69.02,313.73,38.94,52.79,75.32,36.5,7.06,10.73,66.63,Historical,2015,5,23,5,143,0,1,1
2015-05-24 00:00:00,295.0,79.1,251.52,32.09,56.29,69.04,37.22,8.56,18.96,60.08,Historical,2015,5,24,6,144,0,1,1
2015-05-25 00:00:00,344.0,117.27,340.66,51.72,60.65,102.66,40.26,7.66,11.78,95.72,Historical,2015,5,25,0,145,0,0,1
2015-05-26 00:00:00,337.0,96.09,311.08,24.98,51.77,70.51,33.51,5.25,9.9,79.4,Historical,2015,5,26,1,146,0,0,1
2015-05-27 00:00:00,355.0,84.71,231.35,42.01,70.43,91.54,29.05,8.54,17.48,80.71,Historical,2015,5,27,2,147,0,0,1
2015-05-28 00:00:00,371.0,182.76,436.17,54.87,72.67,100.54,35.74,6.89,14.33,83.33,Historical,2015,5,28,3,148,0,0,1
2015-05-29 00:00:00,414.0,106.61,275.6,37.21,64.94,87.55,41.74,8.48,12.9,76.1,Historical,2015,5,29,4,149,0,0,1
2015-05-30 00:00:00,366.0,92.68,239.12,47.05,65.26,103.71,40.66,7.59,17.68,69.95,Historical,2015,5,30,5,150,0,1,1
2015-05-31 00:00:00,346.0,73.62,236.8,19.04,41.86,52.3,36.27,7.12,13.08,87.47,Historical,2015,5,31,6,151,0,1,1
2015-06-01 00:00:00,289.0,49.42,175.39,15.74,48.55,61.72,35.12,5.03,9.96,72.89,Historical,2015,6,1,0,152,0,0,2
2015-06-02 00:00:00,297.0,52.51,117.86,18.64,54.29,68.84,46.09,6.67,6.73,56.2,Historical,2015,6,2,1,153,0,0,2
2015-06-03 00:00:00,268.0,65.28,137.7,24.46,65.25,91.72,54.47,4.98,6.31,41.92,Historical,2015,6,3,2,154,0,0,2
2015-06-04 00:00:00,259.0,85.45,170.55,15.02,62.38,71.04,57.58,3.83,5.53,63.0,Historical,2015,6,4,3,155,0,0,2
2015-06-05 00:00:00,327.0,83.02,241.67,16.05,62.63,52.93,75.0,11.36,4.12,52.03,Historical,2015,6,5,4,156,0,0,2
2015-06-06 00:00:00,384.0,44.54,119.29,11.64,46.37,46.37,71.88,11.94,7.37,37.09,Historical,2015,6,6,5,157,0,1,2
2015-06-07 00:00:00,299.0,85.03,186.2,25.76,77.07,91.29,46.57,3.51,9.53,88.63,Historical,2015,6,7,6,158,0,1,2
2015-06-08 00:00:00,282.0,137.7,269.3,52.45,109.34,109.95,50.63,1.56,10.44,86.2,Historical,2015,6,8,0,159,0,0,2
2015-06-09 00:00:00,442.0,136.05,393.7,45.61,76.88,83.43,46.56,1.38,8.84,58.0,Historical,2015,6,9,1,160,0,0,2
2015-06-10 00:00:00,309.0,63.77,166.31,12.93,31.27,34.21,43.33,2.58,5.91,56.84,Historical,2015,6,10,2,161,0,0,2
2015-06-11 00:00:00,270.0,115.57,259.73,4.41,32.99,26.63,35.31,1.24,6.02,138.5,Historical,2015,6,11,3,162,0,0,2
2015-06-12 00:00:00,239.0,83.29,180.06,14.51,36.36,37.13,40.11,1.19,5.52,68.6,Historical,2015,6,12,4,163,0,0,2
2015-06-13 00:00:00,214.0,73.7,158.24,24.38,52.9,64.56,41.36,1.36,5.34,53.02,Historical,2015,6,13,5,164,0,1,2
2015-06-14 00:00:00,166.0,74.56,121.44,15.9,68.76,71.74,56.02,1.35,5.33,60.88,Historical,2015,6,14,6,165,0,1,2
2015-06-15 00:00:00,234.0,106.11,206.42,17.76,72.79,73.34,60.68,1.62,6.3,86.86,Historical,2015,6,15,0,166,0,0,2
2015-06-16 00:00:00,331.0,132.21,282.05,45.43,81.57,109.14,59.1,1.73,6.16,82.42,Historical,2015,6,16,1,167,0,0,2
2015-06-17 00:00:00,327.0,123.56,271.79,32.84,70.96,82.45,55.88,1.57,6.95,74.01,Historical,2015,6,17,2,168,0,0,2
2015-06-18 00:00:00,313.0,132.21,268.84,34.59,94.25,108.25,59.55,1.82,9.31,87.24,Historical,2015,6,18,3,169,0,0,2
2015-06-19 00:00:00,284.0,110.65,216.46,10.75,65.21,61.04,55.65,1.38,7.8,76.58,Historical,2015,6,19,4,170,0,0,2
2015-06-20 00:00:00,239.0,80.31,160.22,5.92,52.7,45.57,48.06,1.29,10.22,69.37,Historical,2015,6,20,5,171,0,1,2
2015-06-21 00:00:00,149.0,59.73,82.7,7.05,50.78,40.03,66.21,1.59,6.11,52.78,Historical,2015,6,21,6,172,0,1,2
2015-06-22 00:00:00,172.0,85.4,139.2,10.93,58.88,56.1,50.28,1.34,6.18,59.49,Historical,2015,6,22,0,173,0,0,2
2015-06-23 00:00:00,226.0,101.99,152.18,18.2,61.18,67.45,51.94,1.41,7.9,77.04,Historical,2015,6,23,1,174,0,0,2
2015-06-24 00:00:00,261.0,126.07,214.45,14.98,60.31,86.44,62.47,1.37,8.09,83.13,Historical,2015,6,24,2,175,0,0,2
2015-06-25 00:00:00,188.0,37.59,62.38,17.17,44.72,104.26,50.86,1.25,7.67,46.7,Historical,2015,6,25,3,176,0,0,2
2015-06-26 00:00:00,192.0,76.0,182.48,32.6,46.88,101.06,45.56,1.04,6.84,60.99,Historical,2015,6,26,4,177,0,0,2
2015-06-27 00:00:00,207.0,69.46,195.2,19.12,38.55,69.98,42.36,1.01,7.28,53.19,Historical,2015,6,27,5,178,0,1,2
2015-06-28 00:00:00,219.0,79.84,214.78,20.29,47.19,92.99,41.99,1.13,7.53,58.34,Historical,2015,6,28,6,179,0,1,2
2015-06-29 00:00:00,193.0,48.5,96.78,5.47,38.37,81.25,43.97,1.07,7.74,52.21,Historical,2015,6,29,0,180,0,0,2
2015-06-30 00:00:00,170.0,53.79,109.92,8.54,46.06,108.22,41.11,1.05,9.15,58.33,Historical,2015,6,30,1,181,0,0,2
2015-07-01 00:00:00,185.0,57.99,135.43,8.88,49.64,103.97,40.5,1.06,8.88,61.42,Historical,2015,7,1,2,182,0,0,2
2015-07-02 00:00:00,220.0,67.12,175.9,12.29,52.45,110.32,39.09,1.12,6.86,61.7,Historical,2015,7,2,3,183,0,0,2
2015-07-03 00:00:00,225.0,65.25,219.31,19.11,37.09,64.79,37.32,0.99,8.91,59.66,Historical,2015,7,3,4,184,0,0,2
2015-07-04 00:00:00,250.0,88.75,212.16,20.9,35.54,45.93,61.61,0.98,7.24,56.61,Historical,2015,7,4,5,185,0,1,2
2015-07-05 00:00:00,282.0,135.92,435.2,19.63,36.89,49.31,64.99,1.17,6.42,58.36,Historical,2015,7,5,6,186,0,1,2
2015-07-06 00:00:00,298.0,60.27,143.86,15.17,44.07,109.71,38.68,1.1,7.91,58.07,Historical,2015,7,6,0,187,0,0,2
